0.1073,-0.36159
0.13011,-0.33395
0.13011,-0.36176
0.15742,-0.41102
0.15022,-0.43883
0.14002,-0.3587
0.17243,-0.32157
0.12742,-0.35868
0.11001,-0.38014
0.15263,-0.37722
0.14002,-0.34643
0.16493,-0.34303
0.16763,-0.32784
0.15023,-0.34007
0.17244,-0.34946
0.17244,-0.35858
0.18234,-0.32179
0.18775,-0.303
0.20005,-0.28466
0.22256,-0.34312
0.18265,-0.33097
0.20996,-0.33409
0.22257,-0.31545
0.21506,-0.32776
0.21987,-0.36813
0.22287,-0.35554
0.20756,-0.31255
0.24238,-0.3279
0.23758,-0.3464
0.22202,-0.33109
0.26884,-0.39288
0.26194,-0.41154
0.20162,-0.40533
0.20162,-0.40533
